NOMBRE;APELLIDO;EMAIL;TRABAJO;LUGAR
Susana;Vela;Lucas.Marrero12@yahoo.com;Gerente Creativo Productor;sv
Felipe;Ruelas;Claudio.Olivares@hotmail.com;Central Funcionalidad Gerente;fr_CA
José Eduardo;Armenta;Conchita72@yahoo.com;Adelante Interacciones Coordinador;it
Arturo;Gaona;Elena.Villagmez40@gmail.com;Adelante Creativo Gerente;en_ZA
Diana;Avilés;Leonor4@yahoo.com;International Grupo Diseñador;mk
Ana;Olivares;Beatriz_Vlez85@gmail.com;Director Datos Facilitador;nl
Mariano;Alaníz;Amalia68@yahoo.com;Jefe Intranet Diseñador;sv
Ramiro;Cabán;Norma.Lovato78@hotmail.com;International Configuración Arquitecto;hu
Isabel;Miranda;Felipe.Mora91@gmail.com;International Creativo Coordinador;he
Rebeca;Garica;Mario.Quintanilla@hotmail.com;Central Programa Ejecutivo;fi
Marta;Lerma;Claudia2@gmail.com;International Programa Desarrollador;id_ID
Rosalia;Amador;JulioCsar44@hotmail.com;Director Programa Agente;en_CA
Ester;Galindo;Horacio_Ramrez@gmail.com;Adelante Funcionalidad Consultor;en_GH
Lorena;Manzanares;Guillermo.Laboy@yahoo.com;Humano Web Técnico;id_ID
Carmen;Linares;Josefina.Garibay@yahoo.com;Central Mercados Agente;id_ID
Patricio;Gutiérrez;Csar.Lucio@gmail.com;Dinánmico Métricas Especialista;ne
María Cristina;Lovato;Mariano_Gil@gmail.com;Cliente Web Productor;pt_PT
Amalia;Bahena;Ariadna.Moreno@yahoo.com;Humano Configuración Arquitecto;ne
Carla;Santana;MaraEugenia_Tejeda@hotmail.com;Global Tácticas Ejecutivo;el
Lola;Mesa;Benito27@hotmail.com;Humano Calidad Ingeniero;vi
Catalina;Domínguez;Luz35@gmail.com;Corporativo Contabilidad Planificador;nl
Elvira;Batista;Emilia.Uribe@gmail.com;Central Marca Funcionario;en_NG
Reina;Mireles;Alejandro_Vallejo11@hotmail.com;Corporativo Seguro Agente;fr_CA
Andrea;Villegas;Roco25@gmail.com;Gerente Factores Relacciones;id_ID
Clemente;Botello;Mara79@yahoo.com;Nacional Web Consultor;zh_TW
Rubén;Padilla;MarcoAntonio.Barraza@gmail.com;Directo Infraestructura Coordinador;en_CA
Victoria;Delarosa;Carolina_Cepeda66@hotmail.com;Inversor Grupo Director;en
Alfredo;Lebrón;MarcoAntonio_Medina7@gmail.com;Directo Intranet Facilitador;he
Ramiro;Briones;Mariano_Vlez@yahoo.com;Jefe Configuración Desarrollador;vi
Alfredo;Cantú;Elvira6@gmail.com;Futuro Optimización Diseñador;ko
Eloisa;Lucio;Claudio.Polanco81@gmail.com;Jefe Implementación Agente;ur
Magdalena;Villalpando;Concepcin66@hotmail.com;Central Mobilidad Administrador;fr_CH
Sergio;Delgadillo;Enrique_Tijerina62@gmail.com;Jefe Marketing Productor;nl
Manuel;Pagan;Cristbal.Alva14@gmail.com;Interno Investigación Estratega;zh_TW
Adriana;Matías;MaraCristina.Tovar@gmail.com;Distrito Respuesta Coordinador;sk
Julio;Cabán;Luca.Mrquez@gmail.com;Adelante Creativo Director;zh_TW
Blanca;Palomo;Patricio.Jaime76@yahoo.com;Dinánmico Interacciones Supervisor;en_CA
Rebeca;Reyes;Emilia0@yahoo.com;Futuro Calidad Gerente;it
Samuel;Armendáriz;Jernimo.Tamayo49@gmail.com;Cliente Métricas Director;en_BORK
Mariano;Zúñiga;Caridad_vila3@hotmail.com;Humano Seguridada Desarrollador;en_US
Rosalia;Tovar;Lourdes32@yahoo.com;Gerente Normas Relacciones;en_CA
Reina;Tamez;Pilar99@hotmail.com;Producto Marca Analista;ja
Ana María;Rojas;Silvia.Ibarra61@gmail.com;Humano Grupo Supervisor;en_IE
Ramiro;Bahena;MaraEugenia_Mesa39@gmail.com;Global Normas Asociado;fr_CA
Julio César;Oquendo;Benito20@hotmail.com;Heredado Integración Arquitecto;ur
Marisol;Carrasco;Roberto.Vallejo@hotmail.com;Inversor Normas Desarrollador;ur
Benito;Gómez;Adela26@gmail.com;Gerente Usabilidad Especialista;en_GB
Gabriel;Villagómez;Vctor.Quezada@gmail.com;Nacional Intranet Facilitador;lv
Lola;Pizarro;Carlos97@gmail.com;International Seguro Oficial;es_MX
Rosalia;Mercado;Gabriel.Montenegro@yahoo.com;Central Funcionalidad Planificador;ro
Timoteo;Moreno;Sergio_Orosco59@yahoo.com;Director Interacciones Técnico;uk
Patricio;Segovia;Alicia_Zaragoza58@hotmail.com;Interno Operaciones Coordinador;it
Juan;Canales;Alberto18@gmail.com;Heredado Datos Asociado;ge
Octavio;Ibarra;Vernica_Paz@hotmail.com;Corporativo Interacciones Analista;en_CA
Jorge Luis;Heredia;Rafael_Flores61@gmail.com;Central Comunicaciones Asistente;es_MX
Alberto;Tejeda;Luisa_Fuentes85@yahoo.com;Gerente Aplicaciones Productor;vi
Emilia;Ybarra;Lucas_Domnguez69@gmail.com;Distrito Investigación Arquitecto;fi
Homero;Santiago;Antonio51@gmail.com;Nacional Operaciones Ingeniero;ur
Luisa;Guerrero;Carmen.Mares57@gmail.com;Corporativo Respuesta Desarrollador;fr_CH
Mariano;Mota;Hugo_Prieto@hotmail.com;Global Intranet Facilitador;nb_NO
